ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_2Qu1ZIrmu8ys4t6	Distance Trip 1	20	miles	20	unknown	unknown	20
R_2R3alMzrmK7S0gl	Distance Trip 1	100	kilometers	100	unknown	unknown	100
R_2R54IKwmjeP8tFn	Distance Trip 1	478 (plane)	miles	478	plane	plane	478
R_2RaXoXLEhZQete8	Distance Trip 1	3,618 air	miles	3618	plane	plane	3618
R_2rOxtYsZX5LpiLE	Distance Trip 1	338 (train)	miles	338	train	train	338
R_2rTHWb94S7QKfpP	Distance Trip 1	4000 (plane)	miles	4000	plane	plane	4000
R_2rTqzO2mI6E5YrB	Distance Trip 1	1000 (plane)	miles	1000	plane	plane	1000
R_2sbZ2DHO5nqsyAW	Distance Trip 1	571	miles	571	unknown	unknown	571
R_2SiAOrrbuzK0Ldn	Distance Trip 1	700 (train)	kilometers	700	train	train	700
R_2SiShX3Hx3EzqpX	Distance Trip 1	500 (car)	miles	500	car	car	500
R_2Sk7TCeH3RC3Jt9	Distance Trip 1	2500 mi (plane)	miles	2500	plane	plane	2500
R_2SrB5Ad9QM0KQyQ	Distance Trip 1	5 (walking)	miles	5	foot	foot	5
R_2TAx6LNCtNICtg1	Distance Trip 1	663	miles	663	unknown	unknown	663
R_2tKn353lmhNNs04	Distance Trip 1	340 miles (plane)	miles	340	plane	plane	340
R_2tkUbXAeFclIQiO	Distance Trip 1	3 (foot)	kilometers	3	foot	foot	3
R_2TKUcstvV5XQvL8	Distance Trip 1	5,493	kilometers	5493	unknown	unknown	5493
R_2TmABiChg11Irby	Distance Trip 1	2000	kilometers	2000	unknown	unknown	2000
R_2TToZPpuplHCNsE	Distance Trip 1	4542 (plane)	miles	4542	plane	plane	4542
R_2tuur98Wbf1Ck52	Distance Trip 1	9000 (airplane)	kilometers	9000	plane	plane	9000
R_2U45KtRsl7dqT8j	Distance Trip 1	500 (plane)	miles	500	plane	plane	500
R_2UazaS3E1DdUdVE	Distance Trip 1	8 (walk)	miles	8	foot	foot	8
R_2upwDPZDTtZ1Om6	Distance Trip 1	15 (bus)	kilometers	15	bus	bus	15
